V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Standardized	Long	Lat
1116	7	A'	A'	PROPN	SP	_	4	nsubj	_	_					
3978	35	Acri	Acri	PROPN	SP	_	33	nmod	_	_			Acri		
4073	5	Acri	Acri	PROPN	SP	_	1	obl	_	_					
1696	2	Adunque	Adunque	PROPN	SP	_	4	nsubj	_	SpaceAfter=No					
525	44	Agolante	Agolante	PROPN	SP	_	40	conj	_	SpaceAfter=No					
3867	19	Agolante	Agolante	PROPN	SP	_	16	obj	_	SpaceAfter=No					
3993	25	Agolante	Agolante	PROPN	SP	_	26	nsubj	_	_					
2103	11	Agolanti	Agolante	PROPN	SP	_	10	flat:name	_	SpaceAfter=No					
443	37	Agolanti	Agolante	PROPN	SP	_	34	obl	_	SpaceAfter=No					
465	58	Agolanti	Agolante	PROPN	SP	_	60	nsubj	_	_					
8961	38	Aguamorta	Aguamorto	PROPN	SP	_	36	nmod	_	SpaceAfter=No			Aigues Mortes		
4457	2	Ahi	Ahi	PROPN	SP	_	0	root	_	SpaceAfter=No					
3326	2	Ahi	Ahi	PROPN	SP	_	0	root	_	SpaceAfter=No					
1727	2	Aiuto	aiuto	PROPN	SP	_	0	root	_	SpaceAfter=No					
613	18	Alatiel	Alatiel	PROPN	SP	_	17	xcomp	_	SpaceAfter=No					
8236	11	Alatiel	Alatiel	PROPN	SP	_	9	nsubj	_	_					
3740	114	Alba	alba	PROPN	SP	_	111	obl	_	_			Alba (CN)		
8218	35	Alessandra	Alessandra	PROPN	SP	_	36	obl	_	_			Alessandria d'Egitto		
2365	34	Alessandria	Alessandria	PROPN	SP	_	35	obl	_	_			Alessandria d'Egitto		
8040	39	Alessandria	Alessandria	PROPN	SP	_	35	obl	_	_			Alessandria d'Egitto		
47	9	Alessandria	Alessandria	PROPN	SP	_	7	obl	_	SpaceAfter=No			Alessandria d'Egitto		
3840	16	Alessandria	Alessandria	PROPN	SP	_	14	obl	_	_			Alessandria d'Egitto		
1032	12	Alessandro	Alessandro	PROPN	SP	_	8	obl	_	_					
1149	14	Alessandro	Alessandro	PROPN	SP	_	12	obl	_	SpaceAfter=No					
1191	26	Alessandro	Alessandro	PROPN	SP	_	24	obl	_	SpaceAfter=No					
1198	33	Alessandro	Alessandro	PROPN	SP	_	39	nsubj	_	_					
1330	1	Alessandro	Alessandro	PROPN	SP	_	0	root	_	SpaceAfter=No					
1436	51	Alessandro	Alessandro	PROPN	SP	_	49	nmod	_	_					
1454	3	Alessandro	Alessandro	PROPN	SP	_	1	obj	_	_					
1630	39	Alessandro	Alessandro	PROPN	SP	_	62	nsubj:pass	_	SpaceAfter=No					
1712	4	Alessandro	Alessandro	PROPN	SP	_	9	nsubj	_	_					
1871	1	Alessandro	Alessandro	PROPN	SP	_	3	nmod	_	_					
1912	19	Alessandro	Alessandro	PROPN	SP	_	18	nmod	_	SpaceAfter=No					
1944	8	Alessandro	Alessandro	PROPN	SP	_	10	nsubj	_	_					
2039	57	Alessandro	Alessandro	PROPN	SP	_	58	nsubj	_	_					
2140	3	Alessandro	Alessandro	PROPN	SP	_	4	nsubj	_	_					
2286	1	Alessandro	Alessandro	PROPN	SP	_	19	nsubj	_	SpaceAfter=No					
2430	24	Alessandro	Alessandro	PROPN	SP	_	23	xcomp	_	_					
2492	3	Alessandro	Alessandro	PROPN	SP	_	5	obl	_	_					
2532	13	Alessandro	Alessandro	PROPN	SP	_	14	nsubj	_	_					
2578	2	Alessandro	Alessandro	PROPN	SP	_	4	nsubj	_	SpaceAfter=No					
2602	1	Alessandro	Alessandro	PROPN	SP	_	3	nsubj	_	SpaceAfter=No					
2802	22	Alessandro	Alessandro	PROPN	SP	_	3	nsubj	_	SpaceAfter=No					
2940	17	Alessandro	Alessandro	PROPN	SP	_	19	nsubj	_	_					
3009	19	Alessandro	Alessandro	PROPN	SP	_	16	conj	_	_					
3405	83	Alessandro	Alessandro	PROPN	SP	_	80	nmod	_	_					
3507	70	Alessandro	Alessandro	PROPN	SP	_	69	flat:name	_	_					
3559	29	Alessandro	Alessandro	PROPN	SP	_	27	obl	_	_					
3638	19	Alessandro	Alessandro	PROPN	SP	_	16	conj	_	_					
3711	59	Alessandro	Alessandro	PROPN	SP	_	69	nsubj	_	_					
3776	3	Alessandro	Alessandro	PROPN	SP	_	1	obl	_	_					
3857	10	Alessandro	Alessandro	PROPN	SP	_	7	nmod	_	_					
4015	47	Alessandro	Alessandro	PROPN	SP	_	46	nmod	_	_					
127	43	Alessandro	Alessandro	PROPN	SP	_	38	xcomp	_	_					
765	22	Allessandria	Allessandria	PROPN	SP	_	20	nmod	_	_			Alessandria d'Egitto		
962	60	Allessandro	Allessandro	PROPN	SP	_	59	nmod	_	SpaceAfter=No					
2340	22	Allessandro	Allessandro	PROPN	SP	_	20	conj	_	_					
2347	29	Allessandro	Allessandro	PROPN	SP	_	33	nsubj	_	_					
2563	18	Allessandro	Allessandro	PROPN	SP	_	16	nmod	_	SpaceAfter=No					
3276	9	Allessandro	Allessandro	PROPN	SP	_	8	obj	_	_					
4803	36	Allora	allora	PROPN	SP	_	45	nsubj	_	_					
258	41	Amalfi	Amalfi	PROPN	SP	_	39	nmod	_	SpaceAfter=No			Amalfi		
10	6	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	3	nmod	_	_					
814	12	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	11	xcomp	_	_					
906	3	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	2	nsubj	_	SpaceAfter=No					
1482	44	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	43	flat:name	_	SpaceAfter=No					
1835	77	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	86	nmod	_	SpaceAfter=No					
2096	9	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	7	conj	_	_					
2254	83	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	80	nmod	_	SpaceAfter=No					
2280	15	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	16	nsubj	_	_					
2590	31	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	50	nsubj	_	_					
2798	3	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	4	obl	_	_					
2918	23	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	24	nsubj	_	_					
2934	6	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	7	nsubj	_	_					
2969	7	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	5	nmod	_	_					
4211	4	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	3	nsubj	_	_					
4324	20	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	19	flat:name	_	SpaceAfter=No					
4704	14	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	25	conj	_	SpaceAfter=No					
4826	28	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	26	nmod	_	_					
4887	29	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	25	obl	_	_					
5101	7	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	4	obj	_	_					
5156	8	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	5	nmod	_	_					
3565	17	Ambruogiuolo	Ambruogiuolo	PROPN	SP	_	18	obl	_	_					
2746	22	Amore	Amore	PROPN	SP	_	20	nmod	_	SpaceAfter=No					
1312	36	Amore	amore	PROPN	SP	_	38	nsubj:pass	_	_					
136	17	Andreuccio	Andreuccio	PROPN	SP	_	12	nmod	_	_					
364	15	Andreuccio	Andreuccio	PROPN	SP	_	24	nsubj	_	SpaceAfter=No					
407	1	Andreuccio	Andreuccio	PROPN	SP	_	12	nsubj	_	SpaceAfter=No					
452	2	Andreuccio	Andreuccio	PROPN	SP	_	4	nsubj	_	_					
474	9	Andreuccio	Andreuccio	PROPN	SP	_	7	nmod	_	_					
538	11	Andreuccio	Andreuccio	PROPN	SP	_	9	obl	_	_					
638	52	Andreuccio	Andreuccio	PROPN	SP	_	55	obl	_	_					
673	85	Andreuccio	Andreuccio	PROPN	SP	_	86	nsubj	_	_					
842	18	Andreuccio	Andreuccio	PROPN	SP	_	29	nsubj	_	_					
972	20	Andreuccio	Andreuccio	PROPN	SP	_	19	flat:name	_	SpaceAfter=No					
1022	5	Andreuccio	Andreuccio	PROPN	SP	_	7	obl	_	_					
1077	3	Andreuccio	Andreuccio	PROPN	SP	_	0	root	_	_					
1252	2	Andreuccio	Andreuccio	PROPN	SP	_	7	obl	_	SpaceAfter=No					
1944	1	Andreuccio	Andreuccio	PROPN	SP	_	75	nsubj	_	SpaceAfter=No					
2326	21	Andreuccio	Andreuccio	PROPN	SP	_	22	obl	_	_					
2366	22	Andreuccio	Andreuccio	PROPN	SP	_	20	obl	_	SpaceAfter=No					
2518	4	Andreuccio	Andreuccio	PROPN	SP	_	13	nsubj	_	SpaceAfter=No					
2639	44	Andreuccio	Andreuccio	PROPN	SP	_	45	nsubj	_	_					
2730	56	Andreuccio	Andreuccio	PROPN	SP	_	53	conj	_	_					
2851	13	Andreuccio	Andreuccio	PROPN	SP	_	12	obj	_	_					
2898	5	Andreuccio	Andreuccio	PROPN	SP	_	4	nmod	_	SpaceAfter=No					
2986	7	Andreuccio	Andreuccio	PROPN	SP	_	2	obl	_	_					
3177	9	Andreuccio	Andreuccio	PROPN	SP	_	8	nmod	_	SpaceAfter=No					
3306	1	Andreuccio	Andreuccio	PROPN	SP	_	9	nsubj	_	SpaceAfter=No					
3524	12	Andreuccio	Andreuccio	PROPN	SP	_	11	obj	_	_					
3537	3	Andreuccio	Andreuccio	PROPN	SP	_	0	root	_	SpaceAfter=No					
3582	22	Andreuccio	Andreuccio	PROPN	SP	_	45	nsubj	_	_					
3614	5	Andreuccio	Andreuccio	PROPN	SP	_	4	nsubj	_	_					
3721	3	Andreuccio	Andreuccio	PROPN	SP	_	16	obl	_	SpaceAfter=No					
3983	7	Andreuccio	Andreuccio	PROPN	SP	_	2	nsubj	_	SpaceAfter=No					
4080	6	Andreuccio	Andreuccio	PROPN	SP	_	7	nsubj	_	_					
4175	17	Andreuccio	Andreuccio	PROPN	SP	_	18	obl	_	_					
4210	9	Andreuccio	Andreuccio	PROPN	SP	_	8	flat:name	_	SpaceAfter=No					
4508	15	Andreuccio	Andreuccio	PROPN	SP	_	13	nmod	_	SpaceAfter=No					
4523	7	Andreuccio	Andreuccio	PROPN	SP	_	8	obl	_	_					
4544	3	Andreuccio	Andreuccio	PROPN	SP	_	9	nsubj	_	_					
4790	43	Andreuccio	Andreuccio	PROPN	SP	_	49	nsubj	_	SpaceAfter=No					
4855	4	Andreuccio	Andreuccio	PROPN	SP	_	6	obl	_	_					
4863	2	Andreuccio	Andreuccio	PROPN	SP	_	1	flat:name	_	SpaceAfter=No					
4885	24	Andreuccio	Andreuccio	PROPN	SP	_	17	conj	_	_					
5114	9	Andreuccio	Andreuccio	PROPN	SP	_	8	nmod	_	_					
5158	2	Andreuccio	Andreuccio	PROPN	SP	_	4	nsubj	_	_					
5218	3	Andreuccio	Andreuccio	PROPN	SP	_	5	obl	_	_					
5372	1	Andreuccio	Andreuccio	PROPN	SP	_	2	nsubj	_	_					
5539	15	Andreuccio	Andreuccio	PROPN	SP	_	11	nmod	_	SpaceAfter=No					
5552	8	Andreuccio	Andreuccio	PROPN	SP	_	7	obj	_	SpaceAfter=No					
5614	1	Andreuccio	Andreuccio	PROPN	SP	_	2	nsubj	_	_					
5862	5	Andreuccio	Andreuccio	PROPN	SP	_	10	nsubj	_	SpaceAfter=No					
6202	1	Andreuccio	Andreuccio	PROPN	SP	_	10	nsubj	_	SpaceAfter=No					
6289	5	Andreuccio	Andreuccio	PROPN	SP	_	4	obj	_	SpaceAfter=No					
108	14	Andreuccio	Andreuccio	PROPN	SP	_	12	nmod	_	_					
8	4	Anguersa	anguersa	PROPN	SP	_	2	nmod	_	SpaceAfter=No			Anversa		
380	20	Anguersa	anguersa	PROPN	SP	_	17	flat:name	_	_			Anversa		
1738	5	Anguersa	anguersa	PROPN	SP	_	3	nmod	_	_			Anversa		
5504	14	Anguersa	anguersa	PROPN	SP	_	12	nmod	_	_			Anversa		
5525	12	Anguersa	anguersa	PROPN	SP	_	10	nmod	_	_			Anversa		
6492	16	Anguersa	anguersa	PROPN	SP	_	14	nmod	_	_			Anversa		
6730	67	Anguersa	anguersa	PROPN	SP	_	65	nmod	_	_			Anversa		
6873	6	Anguersa	anguersa	PROPN	SP	_	4	nmod	_	_			Anversa		
7079	43	Anguersa	Anguerso	PROPN	SP	_	41	nmod	_	SpaceAfter=No			Anversa		
7098	62	Anguersa	anguersa	PROPN	SP	_	60	nmod	_	_			Anversa		
7864	19	Antigono	Antigere	PROPN	SP	_	14	nmod	_	SpaceAfter=No					
8032	31	Antigono	Antigere	PROPN	SP	_	30	nmod	_	_					
8095	36	Antigono	antigono	PROPN	SP	_	35	obj	_	SpaceAfter=No					
8112	13	Antigono	antigono	PROPN	SP	_	18	nsubj	_	_					
8231	6	Antigono	antigono	PROPN	SP	_	4	obj	_	_					
8282	5	Antigono	antigono	PROPN	SP	_	3	nmod	_	_					
8388	3	Antigono	antigono	PROPN	SP	_	5	obl	_	_					
8535	15	Antigono	antigono	PROPN	SP	_	14	xcomp	_	_					
8784	22	Antigono	antigono	PROPN	SP	_	19	nmod	_	_					
8821	28	Antigono	antigono	PROPN	SP	_	26	nmod	_	_					
8846	14	Antigono	Antigere	PROPN	SP	_	8	nsubj:pass	_	_					
8905	10	Antigono	antigono	PROPN	SP	_	8	nmod	_	_					
9617	54	Antigono	Antigere	PROPN	SP	_	53	nmod	_	_					
9734	8	Antigono	antigono	PROPN	SP	_	6	conj	_	SpaceAfter=No					
10052	11	Antigono	antigono	PROPN	SP	_	9	obl	_	SpaceAfter=No					
6915	10	Antioco	Antioco	PROPN	SP	_	0	root	_	SpaceAfter=No					
7125	29	Antioco	Antioco	PROPN	SP	_	30	nsubj	_	_					
7638	22	Antioco	Antioco	PROPN	SP	_	20	nmod	_	_					
775	5	Arcipelago	arcipelago	PROPN	SP	_	0	root	_	_					
307	35	Arrighetto	Arrighetto	PROPN	SP	_	42	nsubj	_	_					
333	3	Arrighetto	Arrighetto	PROPN	SP	_	0	root	_	SpaceAfter=No					
1560	9	Arrighetto	Arrighetto	PROPN	SP	_	4	acl:relcl	_	_					
3414	12	Arrighetto	Arrighettere	PROPN	SP	_	3	appos	_	_					
3513	31	Arrighetto	Arrighetto	PROPN	SP	_	29	obl	_	_					
3637	31	Arrighetto	Arrighetto	PROPN	SP	_	29	nmod	_	_					
5574	12	Arrighetto	Arrighetto	PROPN	SP	_	14	nsubj	_	_					
5711	94	Arrighetto	Arrighetto	PROPN	SP	_	96	nsubj	_	_					
5984	44	Arrighetto	Arrighetto	PROPN	SP	_	32	nmod	_	_					
6307	75	Arrighetto	Arrighetto	PROPN	SP	_	78	conj	_	_					
6356	31	Arrighetto	Arrighetto	PROPN	SP	_	29	obl	_	_					
6497	16	Arrighetto	Arrighetto	PROPN	SP	_	14	nmod	_	_					
14	9	Arrigo	Arrigo	PROPN	SP	_	10	nsubj	_	_					
163	15	Arrigo	Arrigo	PROPN	SP	_	14	xcomp	_	SpaceAfter=No					
877	14	Arrigo	Arrigo	PROPN	SP	_	13	nmod	_	_					
992	14	Arrigo	Arrigo	PROPN	SP	_	13	flat:name	_	_					
7	3	Asti	Asti	PROPN	SP	_	1	obl	_	SpaceAfter=No			Asti		
202	19	Asti	Asti	PROPN	SP	_	17	flat:name	_	_			Asti		
85	10	Asti	Asti	PROPN	SP	_	8	nmod	_	_			Asti		
3926	9	Atene	Atene	PROPN	SP	_	7	nmod	_	SpaceAfter=No			Atene		
4870	68	Atene	Atene	PROPN	SP	_	71	obl	_	_			Atene		
4887	10	Atene	Atene	PROPN	SP	_	0	root	_	_			Atene		
5123	61	Atene	Atene	PROPN	SP	_	59	nmod	_	_			Atene		
5231	45	Atene	Atene	PROPN	SP	_	43	nmod	_	_			Atene		
5765	17	Atene	Atene	PROPN	SP	_	14	nmod	_	_			Atene		
5836	49	Atene	Atene	PROPN	SP	_	46	obl	_	_			Atene		
5867	18	Atene	Atene	PROPN	SP	_	10	obl	_	_			Atene		
193	10	Azzo	Azzo	PROPN	SP	_	9	nmod	_	_					
1377	22	Azzo	Azzo	PROPN	SP	_	21	nmod	_	_					
566	8	Babillonia	Babillonia	PROPN	SP	_	11	obl	_	_			Il Cairo		
8	4	Babilonia	Babilonia	PROPN	SP	_	2	nmod	_	_			Il Cairo		
7815	49	Baffa	Baffa	PROPN	SP	_	56	obl	_	_			Pafo		
7830	64	Baffa	Baffa	PROPN	SP	_	74	nsubj	_	_			Pafo		
7851	6	Baffa	Baffa	PROPN	SP	_	14	obl	_	_			Pafo		
8612	3	Baffa	Baffa	PROPN	SP	_	5	obl	_	_			Pafo		
9555	12	Baffa	Baffa	PROPN	SP	_	10	obl	_	SpaceAfter=No			Pafo		
9624	61	Baffa	Baffa	PROPN	SP	_	62	obl	_	_			Pafo		
454	24	Bartolomea	Bartolomea	PROPN	SP	_	19	nmod	_	SpaceAfter=No					
6670	17	Basano	basano	PROPN	SP	_	14	obl	_	SpaceAfter=No					
6717	62	Basano	basano	PROPN	SP	_	59	nsubj	_	_					
6871	3	Basano	basano	PROPN	SP	_	5	obl	_	_					
575	17	Beminedab	Beminedab	PROPN	SP	_	16	conj	_	SpaceAfter=No					
355	23	Benevento	Benevento	PROPN	SP	_	21	obl	_	_			Benevento		
6	2	Beritola	Beritola	PROPN	SP	_	1	flat:name	_	SpaceAfter=No					
325	53	Beritola	Beritola	PROPN	SP	_	52	nmod	_	_					
447	2	Beritola	Beritola	PROPN	SP	_	1	flat:name	_	_					
611	2	Beritola	Beritola	PROPN	SP	_	1	flat:name	_	SpaceAfter=No					
703	2	Beritola	Beritola	PROPN	SP	_	1	flat:name	_	SpaceAfter=No					
1387	42	Beritola	Beritola	PROPN	SP	_	43	nsubj	_	_					
1431	22	Beritola	Beritola	PROPN	SP	_	21	nsubj	_	SpaceAfter=No					
1692	13	Beritola	Beritola	PROPN	SP	_	12	nmod	_	_					
1802	9	Beritola	Beritola	PROPN	SP	_	8	nmod	_	_					
1887	8	Beritola	Beritola	PROPN	SP	_	4	nmod	_	SpaceAfter=No					
1936	16	Beritola	Beritola	PROPN	SP	_	15	obj	_	_					
1995	33	Beritola	Beritola	PROPN	SP	_	32	nmod	_	_					
3504	22	Beritola	Beritola	PROPN	SP	_	21	nmod	_	_					
4862	5	Beritola	Beritola	PROPN	SP	_	4	nsubj	_	SpaceAfter=No					
5024	6	Beritola	Beritola	PROPN	SP	_	5	obj	_	_					
6197	20	Beritola	Beritola	PROPN	SP	_	19	nmod	_	_					
6434	11	Beritola	Beritola	PROPN	SP	_	10	nmod	_	_					
107	26	Beritola	Beritola	PROPN	SP	_	25	nmod	_	_					
44	6	Bernabò	Bernabò	PROPN	SP	_	4	conj	_	_					
545	8	Bernabò	Bernabò	PROPN	SP	_	7	nmod	_	_					
825	23	Bernabò	Bernabò	PROPN	SP	_	24	nsubj	_	_					
912	2	Bernabò	Bernabò	PROPN	SP	_	6	obl	_	SpaceAfter=No					
1384	4	Bernabò	Bernabò	PROPN	SP	_	5	nsubj	_	_					
1719	40	Bernabò	Bernabò	PROPN	SP	_	42	nsubj	_	_					
1850	2	Bernabò	Bernabò	PROPN	SP	_	6	vocative	_	SpaceAfter=No					
2014	136	Bernabò	Bernabò	PROPN	SP	_	137	nsubj	_	_					
2093	6	Bernabò	Bernabò	PROPN	SP	_	7	nsubj	_	_					
2146	53	Bernabò	Bernabò	PROPN	SP	_	51	obl:agent	_	_					
2646	23	Bernabò	Bernabò	PROPN	SP	_	20	appos	_	SpaceAfter=No					
2716	2	Bernabò	Bernabò	PROPN	SP	_	1	obj	_	_					
2870	2	Bernabò	Bernabò	PROPN	SP	_	3	nsubj	_	_					
2977	2	Bernabò	Bernabò	PROPN	SP	_	19	nsubj	_	SpaceAfter=No					
4693	3	Bernabò	Bernabò	PROPN	SP	_	0	root	_	SpaceAfter=No					
5034	21	Bernabò	Bernabò	PROPN	SP	_	22	obl	_	_					
5193	12	Bernabò	Bernabò	PROPN	SP	_	5	obl	_	_					
175	7	Bernabò	Bernabò	PROPN	SP	_	5	nmod	_	SpaceAfter=No					
3562	14	Bernabò	Bernabò	PROPN	SP	_	13	obj	_	_					
