Umana	ADJ	umano
cosa	WH	cosa
è	VER:fin	essere
aver	VER:infi	avere
compassione	NOUN	compassione
degli	ARTPRE	del
afflitti	NOUN	afflitto
e	CON	e
come	WH	come
che	CHE	che
a	PRE	a
ciascuna	DET:indef	ciascun
persona	NOUN	persona
stea	ADJ	<unknown>
bene	ADV	bene
a	PRE	a
coloro	PRO:demo	coloro
è	VER:fin	essere
massimamente	ADV:mente	massimamente
richiesto	VER:ppast	richiedere
li	CLI	li
quali	WH	quali
già	ADV	già
hanno	VER:fin	avere
di	PRE	di
conforto	NOUN	conforto
avuto	VER:ppast	avere
mestiere	NOUN	mestiere
e	CON	e
hannol	NOUN	<unknown>
trovato	VER:ppast	trovare
in	PRE	in
alcuni	DET:indef	alcuno
fra	PRE	fra
quali	WH	quali
se	WH	se
alcuno	PRO:indef	alcuno
mai	ADV	mai
n	NOUN	n
'	PUN	'
ebbe	VER:fin	avere
bisogno	NOUN	bisogno
o	CON	o
gli	CLI	gli
fu	VER:fin	essere
caro	ADJ	caro
o	CON	o
già	ADV	già
ne	CLI	ne
ricevette	VER:fin	ricevere
piacere	INT	piacere
io	PRO:pers	io
sono	VER:fin	essere
uno	PRO:indef	uno
di	PRE	di
quegli	DET:demo	quello
Per	PRE	per
ciò	PRO:demo	ciò
che	CHE	che
dalla	ARTPRE	dalla
mia	DET:poss	mio
prima	ADJ	primo
giovanezza	VER:fin	<unknown>
infino	ADV	infino
a	PRE	a
questo	DET:demo	questo
tempo	NOUN	tempo
oltre	PRE	oltre
modo	NOUN	modo
essendo	VER:geru	essere
acceso	VER:ppast	accendere
stato	VER:ppast	essere|stare
d	NOUN	d
'	PUN	'
altissimo	ADJ	alto
e	CON	e
nobile	ADJ	nobile
amore	NOUN	amore
forse	ADV	forse
più	ADV	più
assai	ADV	assai
che	CHE	che
alla	ARTPRE	alla
mia	DET:poss	mio
bassa	ADJ	basso
condizione	NOUN	condizione
non	NEG	non
parrebbe	VER:fin	parere
narrando-	ADJ	<unknown>
lo	CLI	lo
si	CLI	si
richiedesse	VER:fin	richiedere
quantunque	ADV	quantunque
appo	VER:fin	<unknown>
coloro	PRO:demo	coloro
che	CHE	che
discreti	ADJ	discreto
erano	VER:fin	essere
e	CON	e
alla	ARTPRE	alla
cui	WH	cui
notizia	NOUN	notizia
pervenne	VER:fin	pervenire
io	PRO:pers	io
ne	CLI	ne
fossi	AUX:fin	essere
lodato	VER:ppast	lodare
e	CON	e
da	PRE	da
molto	ADV	molto
più	ADV	più
reputato	VER:ppast	reputare
nondimeno	ADV	<unknown>
mi	CLI	mi
fu	VER:fin	essere
egli	PRO:pers	egli
di	PRE	di
grandissima	ADJ	grande
fatica	NOUN	fatica
a	PRE	a
sofferire	VER:infi	<unknown>
certo	ADV	certo
non	NEG	non
per	PRE	per
crudeltà	NOUN	crudeltà
della	ARTPRE	della
donna	NOUN	donna
amata	VER:ppast	amare
ma	CON	ma
per	PRE	per
soverchio	ADJ	soverchio
fuoco	NOUN	fuoco
nella	ARTPRE	nella
mente	NOUN	mente
concetto	NOUN	concetto
da	PRE	da
poco	PRO:indef	poco
regolato	VER:ppast	regolare
appetito	VER:ppast	appetire
il	ART	il
quale	WH	quale
per	PRE	per
ciò	PRO:demo	ciò
che	CHE	che
a	PRE	a
niuno	ADJ	niuno
convenevole	ADJ	convenevole
termine	NOUN	termine
mi	CLI	mi
lasciava	VER:fin	lasciare
contento	ADJ	contento
stare	VER:infi	stare
più	ADV	più
di	PRE	di
noia	NOUN	noia
che	CHE	che
bisogno	NOUN	bisogno
non	NEG	non
m	NOUN	m
'	PUN	'
era	VER:fin	essere
spesse	ADJ	spesso
volte	NOUN	volta
sentir	VER:infi	sentire
mi	CLI	mi
facea	VER:fin	<unknown>
Nella	ARTPRE	nella
qual	WH	qual
noia	NOUN	noia
tanto	ADV	tanto
rifrigerio	VER:fin	<unknown>
già	ADV	già
mi	CLI	mi
porsero	VER:fin	porgere
i	ART	il
piacevoli	ADJ	piacevole
ragionamenti	NOUN	ragionamento
d	NOUN	d
'	PUN	'
alcuno	DET:indef	alcuno
amico	NOUN	amico
e	CON	e
le	ART	la
sue	DET:poss	suo
laudevoli	ADJ	laudevole
consolazioni	NOUN	consolazione
che	CHE	che
io	PRO:pers	io
porto	VER:fin	portare
fermissima	ADJ	fermo
opinione	NOUN	opinione
per	PRE	per
quelle	PRO:demo	quelle
essere	VER:infi	essere
avvenuto	VER:ppast	avvenire
che	CHE	che
io	PRO:pers	io
non	NEG	non
sia	VER:fin	essere
morto	ADJ	morto
Ma	CON	ma
sì	ADV	sì
come	WH	come
a	PRE	a
Colui	PRO:demo	colui
piacque	VER:fin	piacere
il	ART	il
quale	WH	quale
essendo	VER:geru	essere
Egli	PRO:pers	egli
infinito	ADJ	infinito
diede	VER:fin	dare
per	PRE	per
legge	NOUN	legge
incommutabile	ADJ	incommutabile
a	PRE	a
tutte	DET:indef	tutto
le	ART	la
cose	NOUN	cosa
mondane	ADJ	mondano
aver	VER:infi	avere
fine	NOUN	fine
il	ART	il
mio	DET:poss	mio
amore	NOUN	amore
oltre	ADV	oltre
a	PRE	a
ogn	ADJ	<unknown>
'	PUN	'
altro	PRO:indef	altro
fervente	ADJ	fervente
e	CON	e
il	ART	il
quale	WH	quale
niuna	VER:fin	<unknown>
forza	NOUN	forza
di	PRE	di
proponimento	NOUN	proponimento
o	CON	o
di	PRE	di
consiglio	NOUN	consiglio
o	CON	o
di	PRE	di
vergogna	NOUN	vergogna
evidente	ADJ	evidente
o	CON	o
pericolo	NOUN	pericolo
che	CHE	che
seguir	VER:infi	seguire
ne	CLI	ne
potesse	VER2:fin	potere
aveva	AUX:fin	avere
potuto	VER:ppast	potere
né	NOUN	<unknown>
rompere	VER:infi	rompere
né	NOUN	<unknown>
piegare	VER:infi	piegare
per	PRE	per
se	PRO:pers	se
medesimo	PRO:demo	medesimo
in	PRE	in
processo	NOUN	processo
di	PRE	di
tempo	NOUN	tempo
si	CLI	si
diminuì	VER:fin	diminuire
in	PRE	in
guisa	NOUN	guisa
che	CHE	che
sol	ADJ	sol
di	PRE	di
sé	PRO:pers	sè
